image_id,split,fg_ratio,n_components,component_id,area,width,height,bbox_left,bbox_top,bbox_right,bbox_bottom,aspect_ratio,perimeter,circularity,solidity
000202,train,0.088525,4,1,1575,23,109,54,0,77,109,0.211,250.81,0.314627,0.878416
000202,train,0.088525,4,2,300,10,51,33,41,43,92,0.1961,109.46,0.314668,1.006711
000202,train,0.088525,4,3,432,11,59,30,102,41,161,0.1864,127.21,0.335451,0.97407
000202,train,0.088525,4,4,1234,25,75,56,125,81,200,0.3333,184.77,0.454218,0.912384
000209,train,0.075125,1,1,3005,27,193,50,6,77,199,0.1399,424.27,0.209786,0.850071
000210,train,0.022725,1,1,909,12,126,111,35,123,161,0.0952,268.08,0.15894,0.814881
000220,train,0.08595,1,1,3438,38,185,58,14,96,199,0.2054,426.55,0.237451,0.844821
000204,train,0.015425,1,1,617,13,93,119,54,132,147,0.1398,196.77,0.200253,0.835477
000215,train,0.12875,1,1,5150,42,194,81,6,123,200,0.2165,557.08,0.208538,0.811791
000222,train,0.018475,1,1,739,15,95,127,53,142,148,0.1579,205.94,0.218962,0.851382
000219,train,0.008975,1,1,359,11,60,116,108,127,168,0.1833,133.6,0.252758,0.82151
000216,train,0.1401,1,1,5604,41,200,62,0,103,200,0.205,589.14,0.202897,0.781699
000224,train,0.0545,1,1,2180,24,134,82,66,106,200,0.1791,303.74,0.296935,0.900268
000221,train,0.100525,2,1,3309,36,183,144,17,180,200,0.1967,432.99,0.221789,0.83889
000221,train,0.100525,2,2,712,15,97,43,84,58,181,0.1546,209.6,0.203665,0.802706
000225,train,0.012125,1,1,485,13,60,36,60,49,120,0.2167,133.46,0.342197,0.940834
000226,train,0.052075,1,1,2083,22,150,40,46,62,196,0.1467,323.3,0.250436,0.864854
000228,train,0.002925,1,1,117,6,28,97,96,103,124,0.2143,58.73,0.426291,1.141463
000227,train,0.000825,1,1,33,5,11,116,45,121,56,0.4545,24.49,0.691693,1.222222
000223,train,0.0115,2,1,308,10,56,63,22,73,78,0.1786,119.46,0.271235,0.949153
000223,train,0.0115,2,2,152,12,19,87,116,99,135,0.6316,50.38,0.75241,1.074205
000230,train,0.02255,1,1,902,14,103,41,0,55,103,0.1359,223.11,0.227703,0.897512
000229,train,0.01865,1,1,746,13,90,37,84,50,174,0.1444,194.28,0.248355,0.929016
000232,train,0.01135,3,1,154,10,27,137,106,147,133,0.3704,64.38,0.466836,0.913947
000232,train,0.01135,3,2,125,7,41,22,109,29,150,0.1707,86.73,0.208834,1.068376
000232,train,0.01135,3,3,175,6,34,13,114,19,148,0.1765,73.66,0.405342,1.19863
000231,train,0.009925,3,1,71,4,19,80,120,84,139,0.2105,40.83,0.535233,1.378641
000231,train,0.009925,3,2,154,7,41,105,147,112,188,0.1707,86.73,0.257284,1.0301
000231,train,0.009925,3,3,172,7,35,96,153,103,188,0.2,75.9,0.375198,1.106109
000236,train,0.013825,2,1,294,11,42,33,35,44,77,0.2619,92.04,0.436103,1.027972
000236,train,0.013825,2,2,259,11,37,45,55,56,92,0.2973,81.46,0.49053,1.031873
000233,train,0.007125,2,1,122,5,38,62,75,67,113,0.1316,79.07,0.245208,1.12963
000233,train,0.007125,2,2,163,7,33,51,80,58,113,0.2121,71.31,0.402765,1.072368
000234,train,0.01085,4,1,154,7,42,103,31,110,73,0.1667,88.73,0.245816,1.084507
000234,train,0.01085,4,2,181,7,36,93,35,100,71,0.1944,77.31,0.380518,1.090361
000234,train,0.01085,4,3,43,5,12,67,85,72,97,0.4167,27.07,0.73734,1.228571
000234,train,0.01085,4,4,56,8,11,97,189,105,200,0.7273,30.49,0.757212,1.217391
000240,train,0.002375,1,1,95,6,26,54,146,60,172,0.2308,55.31,0.390183,1.073446
000238,train,0.006725,2,1,51,5,14,96,83,101,97,0.3571,31.07,0.663847,1.291139
000238,train,0.006725,2,2,218,8,44,111,103,119,147,0.1818,93.8,0.311365,0.993166
000235,train,0.017325,4,1,121,8,29,90,108,98,137,0.2759,63.8,0.373566,1.025424
000235,train,0.017325,4,2,64,5,18,103,109,108,127,0.2778,37.9,0.559916,1.242718
000235,train,0.017325,4,3,277,11,38,94,123,105,161,0.2895,82.87,0.506867,1.051233
000235,train,0.017325,4,4,231,10,35,107,142,117,177,0.2857,77.21,0.486899,1.066975
000237,train,0.003325,3,1,39,4,13,27,109,31,122,0.3077,28.83,0.589702,1.322034
000237,train,0.003325,3,2,45,4,15,80,144,84,159,0.2667,32.83,0.524713,1.304348
000237,train,0.003325,3,3,49,5,14,138,169,143,183,0.3571,30.49,0.66256,1.240506
000241,train,0.00435,2,1,128,11,17,128,183,139,200,0.6471,46.97,0.729068,1.003922
000241,train,0.00435,2,2,46,6,9,4,191,10,200,0.6667,24.83,0.937712,1.295775
000239,train,0.004775,1,1,191,10,31,100,56,110,87,0.3226,70.97,0.476526,0.989637
000247,train,0.074475,1,1,2979,21,200,96,0,117,200,0.105,447.15,0.187226,0.863979
000242,train,0.0125,3,1,98,6,24,91,73,97,97,0.25,52.49,0.447055,1.126437
000242,train,0.0125,3,2,179,6,43,118,99,124,142,0.1395,90.49,0.274731,1.136508
000242,train,0.0125,3,3,223,8,38,107,103,115,141,0.2105,83.31,0.403721,1.066986
000248,train,0.059475,1,1,2379,17,193,135,0,152,193,0.0881,420.33,0.169212,0.864776
000245,train,0.01245,2,1,291,11,38,97,122,108,160,0.2895,84.63,0.5106,1.039286
000245,train,0.01245,2,2,207,10,31,110,143,120,174,0.3226,68.63,0.552313,1.06701
000243,train,0.014275,3,1,193,11,29,138,77,149,106,0.3793,70.14,0.492957,0.927885
000243,train,0.014275,3,2,170,7,42,24,78,31,120,0.1667,88.14,0.274974,1.089744
000243,train,0.014275,3,3,208,7,37,14,83,21,120,0.1892,78.73,0.421712,1.133515
000246,train,0.07545,2,1,2761,17,200,170,0,187,200,0.085,434.18,0.184047,0.923411
000246,train,0.07545,2,2,257,8,45,61,128,69,173,0.1778,95.8,0.351902,1.064182
000250,train,0.054225,1,1,2169,19,200,98,0,117,200,0.095,438.23,0.14193,0.807821
000254,train,0.031425,1,1,1257,11,166,72,31,83,197,0.0663,347.01,0.131176,0.909222
000249,train,0.02155,3,1,267,11,29,59,0,70,29,0.3793,71.9,0.649037,1.092025
000249,train,0.02155,3,2,136,7,24,52,93,59,117,0.2917,53.9,0.588274,1.133333
000249,train,0.02155,3,3,459,10,74,50,125,60,199,0.1351,158.63,0.229227,0.962264
000244,train,0.0183,4,1,185,11,29,181,10,192,39,0.3793,68.97,0.488713,0.943878
000244,train,0.0183,4,2,224,8,39,56,15,64,54,0.2051,82.97,0.408893,1.066667
000244,train,0.0183,4,3,99,5,24,67,29,72,53,0.2083,51.07,0.476975,1.245283
000244,train,0.0183,4,4,224,11,29,60,171,71,200,0.3793,69.56,0.581814,1.074341
000255,train,0.017625,2,1,291,11,49,94,17,105,66,0.2245,107.7,0.315271,0.883156
000255,train,0.017625,2,2,414,11,63,92,113,103,176,0.1746,133.7,0.291043,0.938776
000253,train,0.012475,2,1,199,7,38,142,0,149,38,0.1842,80.73,0.383721,1.121127
000253,train,0.012475,2,2,300,7,69,140,43,147,112,0.1014,144.63,0.180231,0.961538
000252,train,0.0108,1,1,432,8,78,65,27,73,105,0.1026,163.21,0.20379,1.040964
000251,train,0.01725,2,1,151,5,36,122,63,127,99,0.1389,76.49,0.324363,1.161538
000251,train,0.01725,2,2,539,12,64,122,125,134,189,0.1875,139.21,0.349492,1.009363
000256,train,0.02195,2,1,395,12,51,128,1,140,52,0.2353,112.87,0.389627,0.981366
000256,train,0.02195,2,2,483,10,90,131,100,141,190,0.1111,190.18,0.167807,0.813816
000259,train,0.046875,1,1,1875,20,120,138,80,158,200,0.1667,263.98,0.338112,0.98219
000257,train,0.0073,2,1,169,8,28,79,1,87,29,0.2857,62.14,0.549951,1.104575
000257,train,0.0073,2,2,123,6,24,75,117,81,141,0.25,52.49,0.5611,1.194175
000263,train,0.0159,1,1,636,11,76,90,67,101,143,0.1447,167.94,0.283369,0.961451
000258,train,0.182975,2,1,5268,36,200,136,0,172,200,0.18,457.4,0.316424,0.924292
000258,train,0.182975,2,2,2051,30,119,33,48,63,167,0.2521,272.12,0.348048,0.866315
000266,train,0.0544,1,1,2176,27,200,145,0,172,200,0.135,440.37,0.141006,0.674729
000261,train,0.0862,3,1,542,15,50,24,42,39,92,0.3,113.7,0.526866,1.019755
000261,train,0.0862,3,2,2556,27,151,35,46,62,197,0.1788,336.95,0.282899,0.897945
000261,train,0.0862,3,3,350,15,47,147,46,162,93,0.3191,110.53,0.360033,0.897436
000262,train,0.03985,3,1,576,16,70,136,44,152,114,0.2286,162.91,0.272727,0.815287
000262,train,0.03985,3,2,742,13,73,122,101,135,174,0.1781,160.18,0.363393,0.994638
000262,train,0.03985,3,3,276,7,62,139,127,146,189,0.1129,130.38,0.204016,0.938776
000260,train,0.076575,3,1,421,13,50,29,75,42,125,0.26,110.87,0.430391,1.001189
000260,train,0.076575,3,2,2316,25,122,40,78,65,200,0.2049,279.25,0.373205,0.972496
000260,train,0.076575,3,3,326,12,41,154,81,166,122,0.2927,97.56,0.430444,0.990881
000267,train,0.043925,1,1,1757,30,144,147,56,177,200,0.2083,385.34,0.148695,0.56577
000265,train,0.114725,3,1,332,8,62,31,0,39,62,0.129,134.38,0.231019,0.948571
000265,train,0.114725,3,2,4026,33,200,139,0,172,200,0.165,461.48,0.237562,0.845177
000265,train,0.114725,3,3,231,13,28,30,76,43,104,0.4643,68.63,0.616349,0.968553
000268,train,0.08595,1,1,3438,27,200,141,0,168,200,0.135,452.27,0.211216,0.84659
000269,train,0.006425,1,1,257,10,36,58,136,68,172,0.2778,80.38,0.499799,1.073069
000264,train,0.166425,4,1,5024,36,187,139,0,175,187,0.1925,429.98,0.341474,0.922173
000264,train,0.166425,4,2,570,16,67,50,20,66,87,0.2388,152.18,0.309277,0.853933
000264,train,0.166425,4,3,783,14,77,34,75,48,152,0.1818,169.84,0.341105,0.943942
000264,train,0.166425,4,4,280,6,62,52,102,58,164,0.0968,128.63,0.212667,1.085271
000270,train,0.056275,1,1,2251,28,200,31,0,59,200,0.14,479.1,0.123237,0.630886
000271,train,0.02715,2,1,395,11,62,32,44,43,106,0.1774,135.94,0.2686,0.856833
000271,train,0.02715,2,2,691,16,81,38,119,54,200,0.1975,178.77,0.271707,0.931895
000272,train,0.022925,1,1,917,16,101,34,75,50,176,0.1584,218.67,0.240993,0.857009
000274,train,0.028575,1,1,1143,17,114,120,54,137,168,0.1491,243.01,0.24322,0.937654
000273,train,0.008525,1,1,341,11,45,31,97,42,142,0.2444,97.46,0.451179,1.049231
000278,train,0.071875,1,1,2875,25,200,139,0,164,200,0.125,440.47,0.186217,0.827576
000279,train,0.009725,1,1,389,9,80,84,71,93,151,0.1125,171.36,0.166481,0.81981
000277,train,0.09755,1,1,3902,29,200,34,0,63,200,0.145,455.54,0.23629,0.861084
000275,train,0.022475,2,1,628,19,66,67,50,86,116,0.2879,175.5,0.256229,0.65519
000275,train,0.022475,2,2,271,12,36,71,129,83,165,0.3333,85.21,0.468992,0.950877
000280,train,0.03505,1,1,1402,17,146,46,31,63,177,0.1164,309.05,0.184455,0.862769
000282,train,0.0223,1,1,892,17,123,95,51,112,174,0.1382,259.84,0.16602,0.756573
000281,train,0.011825,2,1,164,7,31,142,40,149,71,0.2258,66.14,0.471083,1.131034
000281,train,0.011825,2,2,309,17,44,133,101,150,145,0.3864,117.46,0.281462,0.726204
000283,train,0.022075,1,1,883,13,119,40,13,53,132,0.1092,251.01,0.176109,0.880359
000284,train,0.00965,2,1,213,6,46,26,19,32,65,0.1304,97.9,0.279273,1.103627
000284,train,0.00965,2,2,173,12,32,179,38,191,70,0.375,72.87,0.409409,0.994253
000285,train,0.047675,1,1,1907,21,165,71,15,92,180,0.1273,389.78,0.157731,0.783967
000286,train,0.02475,1,1,990,17,129,46,71,63,200,0.1318,276.67,0.162526,0.767739
000276,train,0.107025,3,1,653,17,76,90,0,107,76,0.2237,175.6,0.266124,0.788171
000276,train,0.107025,3,2,2742,42,164,89,36,131,200,0.2561,394.71,0.221167,0.693738
000276,train,0.107025,3,3,886,15,94,89,81,104,175,0.1596,200.53,0.276884,0.984992
000288,train,0.033275,2,1,1238,14,157,34,15,48,172,0.0892,335.4,0.138297,0.768228
000288,train,0.033275,2,2,93,6,20,53,45,59,65,0.3,45.07,0.575304,1.148148
000290,train,0.0476,1,1,1904,22,165,32,9,54,174,0.1333,367.64,0.177024,0.82193
000287,train,0.01645,2,1,94,7,18,32,23,39,41,0.3889,40.73,0.71212,1.175
000287,train,0.01645,2,2,564,11,69,31,55,42,124,0.1594,148.28,0.322329,0.999114
000296,train,0.0108,1,1,432,13,53,57,72,70,125,0.2453,117.46,0.3935,0.980704
000289,train,0.018325,3,1,195,8,36,48,0,56,36,0.2222,78.97,0.392929,1.007752
000289,train,0.018325,3,2,221,10,36,48,60,58,96,0.2778,82.14,0.411595,1.016092
000289,train,0.018325,3,3,317,10,47,45,153,55,200,0.2128,105.8,0.355882,0.939259
000291,train,0.0538,3,1,1686,22,149,175,0,197,149,0.1477,340.12,0.183143,0.779833
000291,train,0.0538,3,2,173,7,29,89,7,96,36,0.2414,65.31,0.509621,1.134426
000291,train,0.0538,3,3,293,9,43,94,104,103,147,0.2093,93.21,0.423763,1.052065
000297,train,0.10045,1,1,4018,36,163,22,20,58,183,0.2209,377.82,0.353706,0.898178
000293,train,0.0204,3,1,214,9,40,114,70,123,110,0.225,86.38,0.36037,0.995349
000293,train,0.0204,3,2,450,12,57,142,108,154,165,0.2105,124.04,0.367525,0.996678
000293,train,0.0204,3,3,152,8,30,124,146,132,176,0.2667,66.38,0.433428,0.990228
000294,train,0.0126,3,1,263,7,45,26,28,33,73,0.1556,95.31,0.363793,1.156044
000294,train,0.0126,3,2,93,6,19,34,111,40,130,0.3158,41.31,0.684707,1.215686
000294,train,0.0126,3,3,148,5,35,30,135,35,170,0.1429,74.83,0.332153,1.208163
000292,train,0.0184,4,1,133,7,29,87,42,94,71,0.2414,63.9,0.409323,1.068273
000292,train,0.0184,4,2,76,5,20,82,87,87,107,0.25,41.9,0.544009,1.235772
000292,train,0.0184,4,3,368,10,62,97,100,107,162,0.1613,131.46,0.267607,0.965879
000292,train,0.0184,4,4,159,9,24,97,176,106,200,0.375,57.9,0.596015,1.049505
000299,train,0.00845,1,1,338,9,49,122,74,131,123,0.1837,109.7,0.35296,1.005952
000503,train,0.310325,1,1,12413,105,200,21,0,126,200,0.525,691.43,0.326281,0.754383
000295,train,0.03165,3,1,121,6,24,144,17,150,41,0.25,50.73,0.590882,1.21
000295,train,0.03165,3,2,837,14,105,136,49,150,154,0.1333,225.84,0.20622,0.857143
000295,train,0.03165,3,3,308,7,61,159,139,166,200,0.1148,130.73,0.226477,0.968553
000504,train,0.188,1,1,7520,62,200,49,0,111,200,0.31,517.75,0.352527,0.817569
000300,train,0.008025,3,1,88,7,22,151,55,158,77,0.3182,48.14,0.477136,1.08642
000300,train,0.008025,3,2,143,8,25,156,123,164,148,0.32,56.73,0.558409,1.071161
000300,train,0.008025,3,3,90,6,18,138,142,144,160,0.3333,41.9,0.644221,1.153846
000298,train,0.020825,4,1,120,7,25,162,29,169,54,0.28,54.73,0.50347,1.09589
000298,train,0.020825,4,2,121,6,25,135,60,141,85,0.24,52.73,0.546908,1.20398
000298,train,0.020825,4,3,448,15,42,164,63,179,105,0.3571,103.36,0.527014,0.968649
000298,train,0.020825,4,4,144,6,34,165,113,171,147,0.1765,70.97,0.359266,1.070632
000502,train,0.276175,3,1,6713,145,151,39,0,184,151,0.9603,683.1,0.180782,0.440067
000502,train,0.276175,3,2,3946,65,91,21,109,86,200,0.7143,270.31,0.678652,0.941991
000502,train,0.276175,3,3,388,27,23,106,123,133,146,1.1739,85.6,0.665449,0.968789
000501,train,0.3048,4,1,462,34,18,0,0,34,18,1.8889,92.38,0.680223,1.059633
000501,train,0.3048,4,2,9668,170,124,20,15,190,139,1.371,647.03,0.290203,0.689562
000501,train,0.3048,4,3,1187,41,40,107,125,148,165,1.025,131.05,0.868483,1.00423
000501,train,0.3048,4,4,875,62,35,69,165,131,200,1.7714,179.88,0.339814,0.662126
000508,train,0.250275,2,1,8942,88,158,53,42,141,200,0.557,519.4,0.416518,0.841442
000508,train,0.250275,2,2,1069,41,47,22,125,63,172,0.8723,146.47,0.626184,0.924341
000510,train,0.6958,1,1,27832,197,200,0,0,197,200,0.985,1525.95,0.150202,0.760261
000505,train,0.411275,3,1,4389,81,92,0,0,81,92,0.8804,343.92,0.466284,0.871698
000505,train,0.411275,3,2,7282,79,145,119,55,198,200,0.5448,400.25,0.571213,0.894375
000505,train,0.411275,3,3,4780,72,96,0,104,72,200,0.75,361.82,0.458822,0.787674
000507,train,0.24545,4,1,3353,58,77,64,0,122,77,0.7532,238.71,0.739435,0.974143
000507,train,0.24545,4,2,483,32,25,103,87,135,112,1.28,85.4,0.832285,1.021142
000507,train,0.24545,4,3,4744,87,68,50,132,137,200,1.2794,267.48,0.833242,1.000738
000507,train,0.24545,4,4,1238,30,63,0,137,30,200,0.4762,170.18,0.537148,0.955247
000511,train,0.451975,2,1,293,35,13,4,0,39,13,2.6923,79.7,0.579665,1.075229
000511,train,0.451975,2,2,17786,124,200,60,0,184,200,0.62,904.1,0.273437,0.786556
000506,train,0.326825,3,1,2787,40,96,0,0,40,96,0.4167,257.54,0.528032,0.912873
000506,train,0.326825,3,2,7543,59,182,141,0,200,182,0.3242,468.88,0.431157,0.860877
000506,train,0.326825,3,3,2743,64,74,70,98,134,172,0.8649,240.01,0.598394,0.857455
000509,train,0.542,2,1,18373,198,198,2,1,200,199,1.0,1160.83,0.171337,0.672622
000509,train,0.542,2,2,3307,104,46,32,154,136,200,2.2609,305.1,0.44645,0.900109
000514,train,0.132325,2,1,2168,77,61,105,63,182,124,1.2623,228.55,0.521557,0.905597
000514,train,0.132325,2,2,3125,67,83,57,90,124,173,0.8072,270.01,0.538653,0.883392
000513,train,0.15565,2,1,2104,51,62,21,0,72,62,0.8226,182.17,0.796743,1.022849
000513,train,0.15565,2,2,4122,49,113,112,0,161,113,0.4336,303.2,0.56347,0.937777
000512,train,0.46755,3,1,14496,111,200,0,0,111,200,0.555,789.89,0.291961,0.771638
000512,train,0.46755,3,2,797,43,29,127,0,170,29,1.4828,124.08,0.650492,0.993766
000512,train,0.46755,3,3,3409,46,126,121,74,167,200,0.3651,363.62,0.323993,0.67325
000515,train,0.629875,2,1,16923,126,200,0,0,126,200,0.63,768.66,0.359931,0.821066
000515,train,0.629875,2,2,8272,61,200,138,0,199,200,0.305,588.96,0.299673,0.756263
000519,train,0.126675,1,1,5067,69,104,50,96,119,200,0.6635,313.52,0.647776,0.913549
000518,train,0.5141,3,1,1328,33,49,0,0,33,49,0.6735,146.53,0.777272,1.04116
000518,train,0.5141,3,2,11830,90,198,101,0,191,198,0.4545,603.35,0.408378,0.830292
000518,train,0.5141,3,3,7406,86,113,0,87,86,200,0.7611,448.79,0.462061,0.899988
000521,train,0.27565,1,1,11026,135,200,41,0,176,200,0.675,716.32,0.270034,0.640023
000520,train,0.4258,1,1,17032,187,191,0,9,187,200,0.9791,947.62,0.238346,0.712636
000517,train,0.473575,4,1,2420,41,68,0,0,41,68,0.6029,193.5,0.812222,1.027383
000517,train,0.473575,4,2,14029,138,200,56,0,194,200,0.69,763.73,0.302243,0.671984
000517,train,0.473575,4,3,1746,47,60,0,96,47,156,0.7833,185.64,0.636668,0.931448
000517,train,0.473575,4,4,748,31,32,0,168,31,200,0.9688,105.6,0.842947,1.042509
000522,train,0.338025,1,1,13521,131,200,62,0,193,200,0.655,752.03,0.300432,0.646211
000516,train,0.278475,5,1,814,36,31,65,0,101,31,1.1613,112.43,0.809278,0.992078
000516,train,0.278475,5,2,2535,53,65,113,0,166,65,0.8154,207.4,0.740599,0.993339
000516,train,0.278475,5,3,313,19,18,181,0,200,18,1.0556,66.49,0.889822,1.104056
000516,train,0.278475,5,4,6879,153,96,19,99,172,195,1.5938,506.42,0.33707,0.782238
000516,train,0.278475,5,5,598,30,30,127,170,157,200,1.0,99.6,0.757548,0.976327
000526,train,0.135125,2,1,2802,59,65,126,33,185,98,0.9077,231.72,0.655753,0.927354
000526,train,0.135125,2,2,2603,48,88,33,75,81,163,0.5455,239.82,0.568723,0.895887
000524,train,0.503325,2,1,8403,68,200,0,0,68,200,0.34,542.55,0.358726,0.71585
000524,train,0.503325,2,2,11730,113,189,87,11,200,200,0.5979,645.79,0.353449,0.725889
000525,train,0.109725,3,1,172,12,17,0,0,12,17,0.7059,50.49,0.848025,1.135314
000525,train,0.109725,3,2,4117,65,99,80,52,145,151,0.6566,286.69,0.629441,0.931237
000525,train,0.109725,3,3,100,13,14,32,170,45,184,0.9286,40.04,0.783766,1.06383
000523,train,0.313925,2,1,6357,78,190,86,0,164,190,0.4105,549.36,0.264694,0.609521
000523,train,0.313925,2,2,6200,64,139,0,61,64,200,0.4604,436.49,0.408929,0.815628
000529,train,0.34075,1,1,13630,194,200,5,0,199,200,0.97,811.67,0.259983,0.580902
000533,train,0.24435,1,1,9774,138,150,36,32,174,182,0.92,538.22,0.424004,0.740932
000527,train,0.32725,3,1,6147,173,89,14,0,187,89,1.9438,485.16,0.328171,0.6699
000527,train,0.32725,3,2,5214,78,108,6,78,84,186,0.7222,345.12,0.550099,0.855315
000527,train,0.32725,3,3,1729,59,41,101,106,160,147,1.439,167.3,0.776303,0.99425
000528,train,0.350775,3,1,520,14,48,186,1,200,49,0.2917,112.18,0.519222,1.046278
000528,train,0.350775,3,2,13166,141,186,17,14,158,200,0.7581,792.48,0.263442,0.656576
000528,train,0.350775,3,3,345,14,35,186,60,200,95,0.4,82.87,0.631297,1.090047
000530,train,0.4384,2,1,15147,125,200,51,0,176,200,0.625,693.04,0.396292,0.766103
000530,train,0.4384,2,2,2389,22,174,0,26,22,200,0.1264,411.2,0.177553,0.713347
000532,train,0.16375,3,1,2839,77,95,109,15,186,110,0.8105,330.59,0.326429,0.702288
000532,train,0.16375,3,2,1052,39,36,21,39,60,75,1.0833,126.08,0.831593,1.001905
000532,train,0.16375,3,3,2659,94,65,45,135,139,200,1.4462,268.31,0.464151,0.771843
000536,train,0.318675,2,1,8444,65,200,128,0,193,200,0.325,542.78,0.360177,0.827559
000536,train,0.318675,2,2,4303,77,110,4,81,81,191,0.7,339.81,0.468294,0.836102
000538,train,0.161675,2,1,2873,68,54,53,0,121,54,1.2593,213.64,0.79101,1.018253
000538,train,0.161675,2,2,3594,77,91,58,64,135,155,0.8462,295.87,0.515942,0.808549
000540,train,0.059325,1,1,2373,69,61,123,126,192,187,1.1311,228.45,0.571376,0.857453
000537,train,0.445575,2,1,9500,69,196,108,4,177,200,0.352,515.85,0.448632,0.87196
000537,train,0.445575,2,2,8323,78,179,0,21,78,200,0.4358,603.1,0.287546,0.737266
000535,train,0.297675,3,1,9876,88,200,91,0,179,200,0.44,646.22,0.297192,0.73936
000535,train,0.297675,3,2,151,20,14,58,18,78,32,1.4286,54.28,0.64393,0.967949
000535,train,0.297675,3,3,1880,65,54,14,73,79,127,1.2037,201.34,0.582795,0.878094
000541,train,0.104825,1,1,4193,51,135,75,43,126,178,0.3778,355.91,0.415971,0.80985
000531,train,0.334725,4,1,8847,159,126,0,0,159,126,1.2619,789.87,0.178194,0.577123
000531,train,0.334725,4,2,2617,45,79,0,121,45,200,0.5696,238.02,0.580458,0.895466
000531,train,0.334725,4,3,276,16,24,184,133,200,157,0.6667,67.8,0.754523,1.069767
000531,train,0.334725,4,4,1649,57,41,69,144,126,185,1.3902,168.12,0.733106,0.967155
000534,train,0.1322,5,1,2231,63,76,14,8,77,84,0.8289,273.52,0.374736,0.720607
000534,train,0.1322,5,2,152,19,16,172,16,191,32,1.1875,53.7,0.662414,0.926829
000534,train,0.1322,5,3,1519,56,52,130,73,186,125,1.0769,192.17,0.516907,0.844358
000534,train,0.1322,5,4,697,45,21,23,114,68,135,2.1429,109.25,0.733772,1.038748
000534,train,0.1322,5,5,689,34,30,37,170,71,200,1.1333,113.84,0.668089,0.923592
000539,train,0.132775,2,1,4530,57,116,100,21,157,137,0.4914,307.14,0.603453,0.951681
000539,train,0.132775,2,2,781,45,31,25,119,70,150,1.4516,129.88,0.581783,0.876052
000543,train,0.162875,2,1,3618,71,77,25,0,96,77,0.9221,293.14,0.529099,0.90292
000543,train,0.162875,2,2,2897,60,79,20,121,80,200,0.7595,290.45,0.431532,0.76277
000544,train,0.113625,2,1,1234,42,39,30,51,72,90,1.0769,133.98,0.863828,1.004068
000544,train,0.113625,2,2,3311,73,61,53,106,126,167,1.1967,229.1,0.79275,0.973394
000546,train,0.192075,3,1,6030,91,147,6,19,97,166,0.619,516.9,0.283603,0.645368
000546,train,0.192075,3,2,1028,42,33,146,43,188,76,1.2727,124.33,0.835756,1.003906
000546,train,0.192075,3,3,625,33,31,164,108,197,139,1.0645,100.57,0.776543,1.012966
000542,train,0.183825,3,1,1787,44,52,152,5,196,57,0.8462,161.64,0.859486,1.011891
000542,train,0.183825,3,2,4271,68,115,14,46,82,161,0.5913,365.12,0.402595,0.78475
000542,train,0.183825,3,3,1295,66,37,107,94,173,131,1.7838,168.02,0.576415,0.904014
000547,train,0.295125,2,1,8031,96,183,90,7,186,190,0.5246,545.89,0.338665,0.656933
000547,train,0.295125,2,2,3774,48,144,9,56,57,200,0.3333,368.94,0.348425,0.750298
000549,train,0.3089,2,1,12160,112,172,67,7,179,179,0.6512,604.07,0.418759,0.837552
000549,train,0.3089,2,2,196,20,23,28,114,48,137,0.8696,87.01,0.325316,0.723247
