image_id,split,area,width,height,size_category
000521,train,11026,135,200,large
000522,train,13521,131,200,large
000516,train,814,36,31,small
000516,train,2535,53,65,medium
000516,train,313,19,18,small
000516,train,6879,153,96,medium
000516,train,598,30,30,small
000528,train,520,14,48,small
000528,train,13166,141,186,large
000528,train,345,14,35,small
000530,train,15147,125,200,large
000530,train,2389,22,174,medium
000525,train,172,12,17,small
000525,train,4117,65,99,medium
000525,train,100,13,14,small
000529,train,13630,194,200,large
000526,train,2802,59,65,medium
000526,train,2603,48,88,medium
000527,train,6147,173,89,medium
000527,train,5214,78,108,medium
000527,train,1729,59,41,medium
000523,train,6357,78,190,medium
000523,train,6200,64,139,medium
000524,train,8403,68,200,medium
000524,train,11730,113,189,large
000532,train,2839,77,95,medium
000532,train,1052,39,36,medium
000532,train,2659,94,65,medium
000533,train,9774,138,150,large
000537,train,9500,69,196,large
000537,train,8323,78,179,medium
000534,train,2231,63,76,medium
000534,train,152,19,16,small
000534,train,1519,56,52,medium
000534,train,697,45,21,small
000534,train,689,34,30,small
000535,train,9876,88,200,large
000535,train,151,20,14,small
000535,train,1880,65,54,medium
000538,train,2873,68,54,medium
000538,train,3594,77,91,medium
000539,train,4530,57,116,medium
000539,train,781,45,31,small
000536,train,8444,65,200,medium
000536,train,4303,77,110,medium
000540,train,2373,69,61,medium
000542,train,1787,44,52,medium
000542,train,4271,68,115,medium
000542,train,1295,66,37,medium
000544,train,1234,42,39,medium
000544,train,3311,73,61,medium
000541,train,4193,51,135,medium
000547,train,8031,96,183,medium
000547,train,3774,48,144,medium
000546,train,6030,91,147,medium
000546,train,1028,42,33,medium
000546,train,625,33,31,small
000543,train,3618,71,77,medium
000543,train,2897,60,79,medium
000549,train,12160,112,172,large
000549,train,196,20,23,small
000545,train,483,49,14,small
000545,train,94,13,10,small
000545,train,755,38,31,small
000545,train,4392,85,98,medium
000545,train,1257,46,36,medium
000548,train,1909,59,69,medium
000548,train,3741,55,94,medium
000548,train,86,18,10,small
000550,train,1931,42,69,medium
000550,train,858,32,38,small
000550,train,2987,51,99,medium
000550,train,428,24,29,small
000531,train,8847,159,126,medium
000531,train,2617,45,79,medium
000531,train,276,16,24,small
000531,train,1649,57,41,medium
000551,train,3246,58,87,medium
000556,train,4895,78,79,medium
000556,train,3196,47,96,medium
000556,train,154,15,17,small
000553,train,5405,104,88,medium
000554,train,2666,83,48,medium
000554,train,2119,52,59,medium
000552,train,1351,58,40,medium
000552,train,914,37,37,small
000552,train,1224,49,35,medium
000555,train,376,33,19,small
000555,train,650,26,37,small
000555,train,3285,64,70,medium
000561,train,1802,49,68,medium
000561,train,3012,90,62,medium
000557,train,5409,63,167,medium
000557,train,1328,62,28,medium
000560,train,119,23,8,small
000560,train,63,15,9,small
000560,train,102,17,14,small
000560,train,2387,88,70,medium
000560,train,72,14,9,small
000560,train,95,13,12,small
000564,train,4624,60,122,medium
000564,train,2623,47,93,medium
000563,train,5262,117,119,medium
000559,train,471,38,22,small
000559,train,4728,68,130,medium
000558,train,2075,61,68,medium
000558,train,311,21,28,small
000558,train,557,29,25,small
000567,train,5055,86,123,medium
000567,train,7428,63,199,medium
000567,train,978,52,33,small
000565,train,97,20,7,small
000565,train,2691,56,73,medium
000565,train,310,29,17,small
000565,train,103,22,7,small
000562,train,4316,64,113,medium
000562,train,2081,43,67,medium
000566,train,888,39,29,small
000566,train,6034,126,103,medium
000568,train,6034,62,178,medium
000568,train,250,35,15,small
000572,train,3319,54,109,medium
000570,train,1621,57,36,medium
000570,train,3509,51,102,medium
000569,train,3630,42,120,medium
000569,train,3829,50,98,medium
000569,train,380,16,30,small
000569,train,420,27,21,small
000575,train,4081,65,132,medium
000573,train,7351,61,184,medium
000573,train,822,35,34,small
000573,train,1797,55,58,medium
000576,train,4470,60,129,medium
000576,train,2113,46,64,medium
000576,train,1026,34,43,medium
000577,train,1497,45,53,medium
000577,train,3775,68,94,medium
000577,train,1061,41,46,medium
000574,train,560,35,24,small
000574,train,2384,64,61,medium
000579,train,1569,62,48,medium
000579,train,2408,46,83,medium
000579,train,850,32,41,small
000578,train,9352,68,200,large
000571,train,3925,84,73,medium
000571,train,685,30,36,small
000584,train,11380,116,200,large
000583,train,2081,46,66,medium
000583,train,3464,88,89,medium
000585,train,8522,71,200,medium
000585,train,1831,50,45,medium
000582,train,7932,59,200,medium
000582,train,3325,62,85,medium
000586,train,11552,75,200,large
000586,train,1190,30,56,medium
000581,train,1025,37,42,medium
000581,train,6699,53,200,medium
000588,train,8027,74,173,medium
000580,train,7611,58,189,medium
000592,train,873,45,25,small
000592,train,571,23,42,small
000592,train,3827,50,123,medium
000592,train,2159,48,70,medium
000592,train,501,32,23,small
000590,train,9240,66,200,large
000590,train,5117,57,172,medium
000589,train,2284,42,67,medium
000589,train,652,32,37,small
000589,train,3565,77,85,medium
000589,train,3140,40,98,medium
000587,train,10685,70,200,large
000587,train,393,27,20,small
000595,train,8444,80,193,medium
000595,train,4288,57,114,medium
000595,train,1086,33,52,medium
000594,train,8118,70,192,medium
000594,train,6068,75,114,medium
000591,train,7956,62,200,medium
000591,train,2073,46,68,medium
000591,train,2632,81,75,medium
000599,train,7131,81,167,medium
000599,train,5343,76,119,medium
000597,train,3567,64,71,medium
000597,train,7172,86,165,medium
000597,train,3487,58,89,medium
000596,train,3472,64,81,medium
000596,train,3595,68,70,medium
000596,train,3711,67,145,medium
000598,train,1798,56,53,medium
000598,train,2751,68,68,medium
000598,train,461,28,24,small
000601,train,173,3,65,small
000601,train,301,6,75,small
000593,train,6169,67,185,medium
000602,train,235,4,64,small
000602,train,280,7,70,small
000605,train,1927,60,158,medium
000600,train,4639,54,144,medium
000608,train,859,33,148,small
000608,train,317,15,64,small
000608,train,263,11,56,small
000604,train,1703,44,135,medium
000607,train,2162,68,193,medium
000607,train,212,5,55,small
000607,train,94,5,23,small
000607,train,99,4,26,small
000606,train,2185,68,195,medium
000606,train,213,5,57,small
000606,train,98,5,23,small
000603,train,309,6,80,small
000603,train,245,27,32,small
000613,train,60,5,18,small
000613,train,230,11,56,small
000613,train,188,8,35,small
000611,train,840,30,132,small
000611,train,245,14,49,small
000611,train,98,5,24,small
000611,train,209,5,55,small
000611,train,261,11,56,small
000611,train,126,5,30,small
000615,train,76,5,22,small
000615,train,108,4,30,small
000615,train,237,11,55,small
000615,train,216,7,41,small
000615,train,223,5,62,small
000610,train,678,29,118,small
000610,train,159,11,35,small
000610,train,56,3,22,small
000610,train,158,4,50,small
000610,train,207,10,55,small
000610,train,117,3,39,small
000618,train,342,7,84,small
000617,train,88,5,23,small
000617,train,41,4,11,small
000617,train,333,7,83,small
000609,train,121,21,42,small
000609,train,1017,37,168,small
000609,train,434,19,85,small
000609,train,253,11,56,small
000614,train,71,5,18,small
000614,train,92,6,22,small
000614,train,250,11,58,small
000614,train,195,7,41,small
000616,train,109,4,29,small
000616,train,264,6,63,small
000619,train,609,8,151,small
000612,train,179,7,37,small
000612,train,128,4,43,small
000612,train,86,5,22,small
000612,train,318,6,74,small
000623,train,342,9,57,small
000623,train,1368,87,194,medium
000623,train,792,14,118,small
000623,train,88,15,23,small
000622,train,541,12,75,small
000622,train,197,20,30,small
000622,train,670,10,100,small
000621,train,1031,11,140,medium
000621,train,345,36,51,small
000620,train,693,12,92,small
000627,train,860,35,148,small
000627,train,1433,29,128,medium
000627,train,145,20,36,small
000627,train,293,25,58,small
000627,train,153,5,33,small
000627,train,370,17,66,small
000627,train,355,10,51,small
000625,train,1283,61,200,medium
000625,train,1906,26,194,medium
000625,train,87,16,27,small
000625,train,140,20,34,small
000630,train,120,13,26,small
000630,train,360,17,69,small
000630,train,579,10,81,small
000630,train,56,5,18,small
000630,train,886,23,101,small
000630,train,132,6,24,small
000624,train,2017,27,200,medium
000624,train,91,17,26,small
000624,train,170,22,36,small
000626,train,1337,29,127,medium
000626,train,139,21,34,small
000626,train,169,7,33,small
000626,train,320,10,52,small
000629,train,486,10,68,small
000629,train,931,23,104,small
000629,train,105,5,22,small
000629,train,246,7,46,small
000632,train,123,6,24,small
000632,train,723,9,127,small
000631,train,141,8,32,small
000631,train,471,10,72,small
000631,train,532,8,83,small
000628,train,630,11,82,small
000628,train,158,8,25,small
000628,train,76,5,22,small
000636,train,3527,22,200,medium
000637,train,3007,19,200,medium
000639,train,3115,19,200,medium
000635,train,3835,22,200,medium
000641,train,3115,19,200,medium
000633,train,323,8,60,small
000640,train,3154,19,200,medium
000634,train,3185,22,173,medium
000638,train,3077,19,200,medium
000645,train,3051,200,18,medium
000643,train,2393,16,200,medium
000646,train,3049,200,19,medium
000644,train,3194,18,200,medium
000642,train,3014,18,200,medium
000648,train,3357,25,200,medium
000649,train,3530,25,200,medium
000647,train,3185,27,200,medium
000651,train,5743,38,200,medium
000654,train,4263,26,200,medium
000653,train,4135,23,200,medium
000655,train,5834,35,200,medium
000650,train,6478,37,200,medium
000657,train,4335,31,162,medium
000659,train,4215,200,26,medium
000661,train,4445,200,23,medium
000660,train,4116,200,24,medium
000658,train,5247,31,182,medium
000656,train,5792,33,200,medium
000662,train,5469,200,31,medium
000652,train,6337,34,200,medium
000669,train,2163,14,200,medium
000670,train,2578,19,200,medium
000670,train,1238,7,200,medium
000665,train,4306,200,25,medium
000663,train,3352,194,25,medium
000667,train,2337,15,200,medium
000667,train,1743,13,200,medium
000664,train,3856,200,27,medium
000666,train,2482,17,200,medium
000666,train,1942,17,200,medium
000668,train,1443,13,180,medium
000668,train,1376,13,164,medium
000668,train,1013,13,113,small
000668,train,671,9,115,small
000674,train,1051,10,177,medium
000674,train,382,8,69,small
000675,train,999,10,180,small
000672,train,971,8,200,small
000677,train,865,7,200,small
000677,train,778,6,200,small
000676,train,976,9,163,small
000671,train,951,7,200,small
000678,train,731,7,184,small
000678,train,686,6,184,small
000678,train,892,8,170,small
000683,train,268,4,91,small
000683,train,372,6,124,small
000683,train,345,5,69,small
000685,train,1283,12,200,medium
000685,train,817,6,171,small
000679,train,765,6,200,small
000679,train,717,6,200,small
000679,train,858,7,174,small
000684,train,1138,8,181,medium
000682,train,648,6,163,small
000682,train,360,5,120,small
000682,train,450,6,151,small
000682,train,677,5,169,small
000673,train,810,6,200,small
000681,train,806,6,169,small
000681,train,388,5,130,small
000681,train,576,6,165,small
000680,train,1144,9,200,medium
000688,train,848,10,127,small
000688,train,127,5,29,small
000688,train,199,5,49,small
000691,train,2952,19,200,medium
000687,train,1118,11,151,medium
000690,train,2546,16,200,medium
000686,train,1141,10,200,medium
000686,train,771,6,169,small
000693,train,1321,14,162,medium
000693,train,479,6,101,small
000694,train,2747,18,200,medium
000692,train,2722,17,200,medium
000692,train,187,10,28,small
000689,train,383,6,87,small
000696,train,2027,24,160,medium
000698,train,1565,200,17,medium
000695,train,1528,14,200,medium
000903,train,1341,74,26,medium
000903,train,2491,200,26,medium
000700,train,4205,200,25,medium
000699,train,1892,200,15,medium
000901,train,332,46,11,small
000901,train,309,45,12,small
000901,train,497,51,15,small
000902,train,467,54,13,small
000902,train,400,45,13,small
000902,train,315,35,14,small
000902,train,1566,79,26,medium
000697,train,1408,13,200,medium
000697,train,623,7,143,small
000697,train,248,12,42,small
000906,train,1357,97,24,medium
000906,train,1937,186,20,medium
000904,train,601,60,15,small
000904,train,223,32,10,small
000904,train,416,47,12,small
000907,train,251,29,11,small
000907,train,187,29,8,small
000907,train,1385,112,19,medium
000909,train,1398,110,19,medium
000908,train,364,50,10,small
000908,train,1305,129,17,medium
000908,train,1155,73,23,medium
000905,train,2331,129,27,medium
000905,train,2617,189,25,medium
000910,train,539,42,17,small
000910,train,3072,200,36,medium
000911,train,4960,200,37,medium
000911,train,634,46,19,small
000911,train,3599,194,29,medium
000912,train,3048,151,41,medium
000912,train,1063,44,31,medium
000912,train,253,30,12,small
000912,train,1770,141,24,medium
000914,train,464,44,13,small
000914,train,601,48,17,small
000914,train,1555,73,30,medium
000914,train,917,56,19,small
000913,train,284,41,9,small
000913,train,3958,167,49,medium
000916,train,263,31,10,small
000916,train,91,20,6,small
000916,train,224,38,8,small
000916,train,364,48,11,small
000917,train,401,56,10,small
000917,train,516,64,13,small
000921,train,611,55,20,small
000921,train,481,55,14,small
000921,train,1255,80,25,medium
000919,train,2186,144,38,medium
000919,train,2891,187,30,medium
000920,train,9935,200,78,large
000915,train,1799,81,38,medium
000915,train,1597,75,30,medium
000915,train,180,19,12,small
000915,train,2009,143,28,medium
000915,train,170,25,9,small
000918,train,375,30,17,small
000918,train,1091,77,24,medium
000918,train,1048,79,19,medium
000922,train,3307,200,25,medium
000923,train,3389,200,27,medium
000928,train,2450,124,30,medium
000928,train,531,34,23,small
000928,train,6568,200,53,medium
000926,train,487,56,14,small
000926,train,10273,200,65,large
000924,train,1301,102,19,medium
000930,train,1603,154,21,medium
000930,train,385,50,11,small
000927,train,4923,200,41,medium
000927,train,470,49,14,small
000927,train,8630,200,49,medium
000931,train,302,32,12,small
000931,train,2374,87,41,medium
000931,train,1476,102,28,medium
000925,train,4619,200,34,medium
000925,train,423,48,12,small
000925,train,655,48,19,small
000925,train,331,47,10,small
000936,train,1804,115,30,medium
000936,train,671,57,17,small
000936,train,1568,155,18,medium
000934,train,1026,90,21,medium
000934,train,304,41,12,small
000934,train,194,27,9,small
000934,train,1038,79,22,medium
000933,train,154,23,9,small
000933,train,1053,76,23,medium
000929,train,545,53,13,small
000929,train,817,72,17,small
000929,train,1498,95,22,medium
000929,train,333,36,14,small
000935,train,210,28,9,small
000935,train,526,58,14,small
000935,train,336,39,13,small
000935,train,338,37,12,small
000932,train,397,67,12,small
000937,train,1420,105,30,medium
000937,train,670,68,16,small
000937,train,1836,102,27,medium
000937,train,332,34,14,small
000937,train,172,21,12,small
000944,train,802,73,23,small
000944,train,566,41,19,small
000944,train,364,45,10,small
000940,train,1636,99,27,medium
000940,train,1603,122,20,medium
000941,train,2183,134,36,medium
000939,train,1803,105,29,medium
000939,train,542,59,15,small
000939,train,196,20,13,small
000943,train,555,44,18,small
000943,train,759,67,17,small
000938,train,1248,93,26,medium
000938,train,708,62,17,small
000938,train,1734,102,27,medium
000938,train,358,39,15,small
000942,train,1960,127,32,medium
000942,train,287,23,17,small
000945,train,2182,169,30,medium
000945,train,290,39,9,small
000951,train,1045,68,25,medium
000951,train,979,87,25,small
000951,train,1238,66,28,medium
000948,train,611,66,15,small
000947,train,679,67,17,small
000953,train,309,59,11,small
000953,train,260,47,9,small
000946,train,2115,170,29,medium
000946,train,303,37,11,small
000949,train,878,73,21,small
000949,train,709,69,18,small
000950,train,230,47,9,small
000950,train,681,62,18,small
000950,train,226,38,9,small
000952,train,255,51,9,small
000952,train,722,69,16,small
000952,train,204,31,11,small
000954,train,983,98,18,small
000954,train,272,55,10,small
000956,train,2205,172,26,medium
000955,train,2210,171,29,medium
000955,train,273,46,8,small
000959,train,440,60,11,small
000959,train,150,35,5,small
000959,train,172,30,9,small
000958,train,172,45,7,small
000958,train,151,30,8,small
000964,train,135,18,12,small
000964,train,428,67,12,small
000964,train,1521,121,20,medium
000964,train,773,86,20,small
000957,train,766,44,35,small
000957,train,233,29,11,small
000957,train,160,41,6,small
000957,train,131,26,7,small
000963,train,397,57,11,small
000963,train,1580,116,22,medium
000961,train,139,21,9,small
000961,train,1310,67,31,medium
000960,train,353,55,12,small
000962,train,529,63,13,small
000965,train,122,17,10,small
000965,train,268,34,11,small
000965,train,648,46,22,small
000965,train,2100,169,23,medium
000966,train,143,20,10,small
000966,train,287,39,11,small
000966,train,3074,200,28,medium
000966,train,282,41,10,small
000968,train,532,65,13,small
000968,train,674,48,23,small
000968,train,104,15,10,small
000967,train,2274,126,27,medium
000967,train,314,43,10,small
000969,train,1289,123,21,medium
000969,train,1331,119,27,medium
000974,train,254,45,9,small
000974,train,1064,116,20,medium
000974,train,348,42,11,small
000974,train,206,40,9,small
000974,train,117,22,7,small
000970,train,2141,107,34,medium
000970,train,1088,65,26,medium
000970,train,818,47,24,small
000970,train,227,49,9,small
000972,train,929,92,15,small
000972,train,262,39,10,small
000973,train,765,86,17,small
000973,train,1236,158,19,medium
000973,train,396,47,11,small
000971,train,871,91,16,small
000971,train,249,40,11,small
000971,train,3299,194,37,medium
000971,train,226,30,9,small
000977,train,491,69,12,small
000977,train,566,65,13,small
000977,train,349,44,10,small
000977,train,172,36,7,small
000977,train,119,24,8,small
000980,train,157,39,5,small
000980,train,455,70,10,small
000979,train,217,42,13,small
000981,train,231,42,8,small
000981,train,222,43,13,small
000978,train,218,47,8,small
000978,train,241,44,14,small
000976,train,444,67,11,small
000976,train,654,73,16,small
000976,train,380,45,10,small
000983,train,231,51,7,small
000983,train,394,65,13,small
000983,train,648,82,13,small
000983,train,181,32,8,small
000975,train,473,67,11,small
000975,train,601,75,14,small
000975,train,329,42,9,small
000975,train,222,38,9,small
000986,train,996,81,21,small
000990,train,191,20,13,small
000990,train,319,35,10,small
000990,train,132,16,10,small
000990,train,448,44,13,small
000990,train,2756,199,25,medium
000987,train,770,95,13,small
000987,train,109,24,6,small
000989,train,9560,200,65,large
000984,train,176,29,10,small
000984,train,109,29,5,small
000984,train,430,66,14,small
000984,train,659,80,13,small
000984,train,752,84,15,small
000988,train,10022,200,67,large
000982,train,170,28,11,small
000982,train,242,49,7,small
000982,train,827,108,14,small
000985,train,163,28,10,small
000985,train,103,28,6,small
000985,train,690,91,14,small
000985,train,106,23,6,small
000991,train,538,45,15,small
000991,train,600,50,14,small
000991,train,3184,200,29,medium
000999,train,1833,185,19,medium
000999,train,691,65,15,small
000999,train,1453,71,31,medium
000996,train,1540,160,16,medium
000996,train,3337,172,29,medium
000997,train,233,50,8,small
000997,train,418,65,13,small
000998,train,788,69,17,small
000998,train,1447,75,26,medium
000992,train,199,25,11,small
000992,train,611,48,16,small
000992,train,3234,200,27,medium
000994,train,577,77,14,small
000994,train,536,55,13,small
000994,train,3726,200,30,medium
000993,train,1306,129,19,medium
000993,train,354,32,13,small
000993,train,4182,200,31,medium
000995,train,408,39,16,small
000995,train,3840,108,68,medium
000995,train,793,54,24,small
000995,train,250,34,9,small
000995,train,201,40,7,small
000995,train,845,75,23,small
000995,train,450,56,13,small
001000,train,370,39,15,small
001000,train,1768,108,24,medium
001004,train,152,25,8,small
001004,train,1814,117,27,medium
001004,train,622,79,14,small
001003,train,489,68,14,small
001003,train,1223,75,26,medium
001003,train,687,77,17,small
001003,train,1792,102,30,medium
001003,train,520,64,10,small
001001,train,816,98,17,small
001001,train,469,46,21,small
001001,train,563,64,16,small
001001,train,1625,107,26,medium
001001,train,271,35,11,small
001006,train,1999,150,27,medium
001006,train,648,71,14,small
001006,train,310,32,14,small
001006,train,482,71,9,small
001007,train,259,34,10,small
001007,train,221,36,8,small
001007,train,2031,139,29,medium
001005,train,174,25,9,small
001005,train,1871,119,28,medium
001005,train,586,83,14,small
001005,train,1141,72,23,medium
001005,train,563,71,11,small
001009,train,2111,146,28,medium
001009,train,706,73,17,small
001009,train,495,57,13,small
001009,train,575,72,12,small
001011,train,3127,159,35,medium
001002,train,1418,136,21,medium
001012,train,904,92,16,small
001012,train,170,42,6,small
001012,train,50,15,5,small
001012,train,41,11,4,small
001012,train,235,40,11,small
001012,train,3375,194,36,medium
001012,train,250,30,10,small
001010,train,140,19,10,small
001010,train,499,53,17,small
001010,train,194,33,8,small
001010,train,488,49,17,small
001010,train,1474,91,27,medium
001010,train,443,59,12,small
001008,train,655,73,16,small
001008,train,477,59,12,small
001008,train,514,76,10,small
001008,train,169,31,9,small
001019,train,426,37,14,small
001019,train,111,19,9,small
001019,train,1340,108,24,medium
001013,train,809,73,18,small
001013,train,178,45,5,small
001013,train,42,14,4,small
001013,train,39,12,4,small
001013,train,409,57,11,small
001014,train,164,41,5,small
001014,train,471,70,10,small
001014,train,441,49,13,small
001014,train,342,43,10,small
001014,train,293,53,9,small
001015,train,329,51,9,small
001015,train,207,33,9,small
001015,train,99,20,7,small
001017,train,167,23,12,small
001017,train,1475,93,28,medium
001018,train,217,27,13,small
001018,train,1426,105,25,medium
001016,train,187,37,6,small
001016,train,156,31,8,small
001021,train,597,46,16,small
001021,train,4266,200,45,medium
001026,train,168,31,9,small
001025,train,1512,140,22,medium
001024,train,3179,112,49,medium
001024,train,864,82,18,small
001027,train,176,29,10,small
001022,train,1742,173,16,medium
001020,train,601,77,12,small
001020,train,355,42,10,small
001020,train,301,52,11,small
001020,train,153,26,8,small
001023,train,3911,177,48,medium
001023,train,6015,200,48,medium
001028,train,55,12,6,small
001028,train,200,38,7,small
001034,train,103,19,7,small
001034,train,361,48,14,small
001034,train,102,20,8,small
001034,train,109,20,7,small
001035,train,228,31,10,small
001035,train,799,70,19,small
001035,train,419,52,11,small
001033,train,88,18,6,small
001033,train,332,49,13,small
001033,train,111,19,9,small
001033,train,107,21,7,small
001030,train,55,12,6,small
001030,train,200,38,7,small
001030,train,67,15,5,small
001030,train,257,38,11,small
001030,train,103,16,8,small
001032,train,130,33,8,small
001032,train,69,13,8,small
001031,train,54,15,4,small
001031,train,235,32,10,small
001031,train,144,23,9,small
001031,train,101,16,8,small
001029,train,51,12,6,small
001029,train,202,39,8,small
001029,train,86,19,5,small
001029,train,256,36,10,small
001036,train,227,27,12,small
001036,train,862,74,19,small
001036,train,401,47,14,small
001036,train,474,54,12,small
001038,train,208,27,10,small
001038,train,845,72,18,small
001038,train,450,52,14,small
001037,train,205,26,11,small
001037,train,837,74,19,small
001037,train,464,51,15,small
001037,train,452,54,11,small
001041,train,179,40,6,small
001041,train,114,23,7,small
001041,train,3075,132,37,medium
